guarde,guarded
5371744909037699041,5371744909037699041455552602491901263414
659185994309,6591859943091324575886587044653095332668
787531942465131444389971195,7875319424651314443899711959681059379575
7857147002108731469325,7857147002108731469325455792313475724364
619050177246621458759237441865753006499,6190501772466214587592374418657530064998
13109638102,1310963810255911464392380521390786289356
imperat,imperatively
3536340439991445,3536340439991445294960728379007338249976
275819665639411489617168329804551,2758196656394114896171683298045513972950
770961683057941674310,7709616830579416743105192544863273588851
5727228225081201706071338033964,5727228225081201706071338033964184121125
blasph,blasphemies
840857039781519981488223,8408570397815199814882239005994891194647
incurs,incursion
1634559719444,1634559719444199434462476112384461761573
476484205208888117228319900445042844,4764842052088881172283199004450428448685
8886549500270853923617105,8886549500270853923617105502131147413744
3682664135,3682664135541448048997721373174119199970
2325270572005,2325270572005303988289499034259566232975
8050551038215398276772,8050551038215398276772913731380067153392
15630063644321116,1563006364432111622483737910562361135883
56429711334181497218078040465077657204,5642971133418149721807804046507765720445
118892011487,1188920114871545460924735613515979992999
963436392268425916416866943812,9634363922684259164168669438122537135960
misint,misinterpreted
1159676472507566836,1159676472507566836772605235293977301634
707875631176107464288,7078756311761074642883559391598542167311
pamph,pamphlets
immensel,immensely
flus,flushed
custo,custom
439255,4392559862052140905234625084783048704649
7104569019191359062304102336798,7104569019191359062304102336798080907240
fluc,fluctuating
557370908551506480023214764430372,5573709085515064800232147644303723246614
09565346713290025994397663114545902,0956534671329002599439766311454590268589
11789367521460223869056654813,1178936752146022386905665481382858280449
3695561934763859818775685,3695561934763859818775685591237623258084
41398655075225078089193521041739634934,4139865507522507808919352104173963493428
41521115136835062752,4152111513683506275260232648472870392076
assumpti,assumptions
951395756419122685155962,9513957564191226851559624762032820387263
74921331663162812456388238,7492133166316281245638823828871564844788
harness,harnessed
sketch,sketched
400958994810939798323110883876923,4009589948109397983231108838769236490221
0044694903205883829492361391928430,0044694903205883829492361391928430524916
21950726933755023582156,2195072693375502358215614249945382347811
61326,6132641882358603656905477334307091175915
226844716256079882651787134195,2268447162560798826517871341951246652010
23166161524450,2316616152445059805767457653355523387156
2272181694051590421708921042,2272181694051590421708921042875521886583
7828710664940156467014,7828710664940156467014194371382386345472
60387168114313,6038716811431308417289371081741276458120
4274036466594,4274036466594154400092799908634806622334
10043090235713,1004309023571363689261949376360267364587
strut,strutting
054007035613102604051450,0540070356131026040514507932592579822740
011138612561164,0111386125611641024771909030500402406622
telecommunicat,telecommunications
1843659,1843659714358334875602740540016557117830
961205353217435276493790187725226362,9612053532174352764937901877252263626883
09769045634157657339554958844894809360,0976904563415765733955495884489480936040
48338,4833838054369880310983922140260514297591
117331780774149755,1173317807741497557116733034632008408954
81733946274764465685890093626,8173394627476446568589009362661233111529
16027944054827101962907745436280926125,1602794405482710196290774543628092612567
0450038325,0450038325804105442059548285995523906575
98656563767227557044952,9865656376722755704495258739871812593441
673036056123071072392258,6730360561230710723922581504781379172731
955388976139864001,9553889761398640016563990693460067078050
swelli,swelling
9208952182644710514911419441,9208952182644710514911419441192277010977
_ye_,_ye_cannot_hide_it
hithe,hitherto
infringe,infringement
091136926706828053,0911369267068280539754911116617110239743
oppositio,opposition
swelle,swelled
254610824635193164778383,2546108246351931647783837078295218389645
inscru,inscrutable
celest,celestial
951401461782018107341005654667082,9514014617820181073410056546670823685431
752156685719506371936565390389449366,7521566857195063719365653903894493664217
berner,berners
291710931802823550425536539971660547539,2917109318028235504255365399716605475390
85313,8531386101867292188934703934207224555679
inscri,inscribe
8040693172,8040693172476915221921740909688020900880
35080486339355523840,3508048633935552384057355808637187635302
malodor,malodorous
831879619843765495877803685261751835391,8318796198437654958778036852617518353918
10997158831278002089,1099715883127800208982759358981064821179
presidentia,presidential
1601748519818854608600,1601748519818854608600365976067432333464
877946713121042763380872,8779467131210427633808726957386093146315
6495885748,6495885748021949967226211858743610397749
99610250961,9961025096113761670187568525921208929131
rheumatis,rheumatism
133562443838185,1335624438381853662735637834369212793547
3748896456571872925,3748896456571872925404485086244499478162
219507269337550235,2195072693375502358215614249945382347811
5184392,5184392539670922412565933079102365485294
unmanne,unmannerly
71159783458351173168204129645,7115978345835117316820412964596707063330
08144887329,0814488732957847348490003019477888020460
39058102941160049869930775,3905810294116004986993077514285130212862
unmanni,unmanning
30639751837209975,3063975183720997533905509588362364281449
18077636034624592787784,1807763603462459278778465850656050780844
97310,9731087402647536582575657351059978314264
99972,9997221703804617092894579096271662260740
875868,8758684250492690370934262028022399861803
telecommunication,telecommunications
47478240669928277140069031,4747824066992827714006903166070995147315
7520095,7520095934536073162261187281739280746230
38520865081,3852086508154491350136491698639048125666
fellows,fellowship
79731132595,7973113259516101749193468250063285777004
entir,entirely
3156021000043869510583,3156021000043869510583773779766003460887
assumi,assuming
glass,glasses
704726384403,7047263844037953016690546593746161932384
68731425225260179,6873142522526017958897591162387208075805
26544959061738265591178545999,2654495906173826559117854599937851086144
34398479588628632934746650690,3439847958862863293474665069028406671901
5240828501201908310786780670618511457,5240828501201908310786780670618511457409
spasmodica,spasmodically
230586033206064194929893,2305860332060641949298931012423081105800
footpr,footprints
herdsma,herdsman
interpolat,interpolated
572187,5721874602100531148335132385004782716937
abruptl,abruptly
85547116852481055999157444155,8554711685248105599915744415515074312144
arkans,arkansas
9907582801661112006,9907582801661112006314541131514410887576
ofte,often
assume,assumed
tilli,tilling
tille,tilled
indigenou,indigenous
76879524224456397301831129145,7687952422445639730183112914511513227578
sportivenes,sportiveness
bernar,bernard
hitch,hitched
8626290036145602625334863,8626290036145602625334863284986816039463
316178138,3161781389497095503836947959461797982925
8037924778355400181174529577473397,8037924778355400181174529577473397140123
72690942898297106560680180580,7269094289829710656068018058078436004618
415202,4152027721127070187421548123931953220997
2255162155107,2255162155107179460621892674335641960083
640975459185695638023637016211204774,6409754591856956380236370162112047742722
4646099819257,4646099819257616235478710913832967563761
19011573834,1901157383418793070215408914993488416750
07831342861807504971757473737,0783134286180750497175747373730296280477
792336938,7923369382166010702872651938143844844532
018276633622797810454633113129404,0182766336227978104546331131294044833570
63207444991851146,6320744499185114691744550622971460865787
1565813545578319,1565813545578319730419339269008282952718
76513102779262,7651310277926279743981957617505591300993
4385282701,4385282701658246192092219529134323496779
_quran,_quran_
enthu,enthusiasm
8626290036,8626290036145602625334863284986816039463
enfranchise,enfranchised
29067629080951145758060270806092,2906762908095114575806027080609280150440
2133205,2133205286374577983487319388899574634252
694701067831178927,6947010678311789270955272532221252243616
39070831380,3907083138030214072556753022600033565715
2398013798,2398013798104340564182403396162494910454
784204831057493300601979,7842048310574933006019795820773955852280
9907582801661,9907582801661112006314541131514410887576
psychol,psychology
35405849629679678134942011600332587443,3540584962967967813494201160033258744314
enter,entered
598793163688923009,5987931636889230098793127736178215424999
181182493799540477008369348,1811824937995404770083693488892209638142
21560367482860837865680307306265763346,2156036748286083786568030730626576334697
71180923844065635313618267692376,7118092384406563531361826769237616133892
50047585260297929306159913444898,5004758526029792930615991344489834197358
91892926465588805936012751518382,9189292646558880593601275151838235485893
3387502,3387502163443910141875767119389144162771
38433818,3843381891200428537875493027689721681991
07802110188106722,0780211018810672234797257933065318771343
1022190999062,1022190999062573733834727264986782444010
unstain,unstained
15448081890676207534245269934437,1544808189067620753424526993443755719446
30688683058465080828866141,3068868305846508082886614111979138822898
philosop,philosophy
telecomput,telecomputing
0196442965370,0196442965370643088660925268811549596291
632599158,6325991581644993614551724520570204430937
emergenc,emergency
9126113117314169066606067613797,9126113117314169066606067613797690123141
916155147776301876,9161551477763018763021360688252962744602
063239660496,0632396604969145303273887874557905934937
66986837037302200475314,6698683703730220047531433818109270803001
_you,_yours
0777042843185079,0777042843185079019734690711412303641117
377368240510902583759345170015,3773682405109025837593451700153405222661
datin,dating
77153373744646521187448174886871065231,7715337374464652118744817488687106523111
6753958711436104089409,6753958711436104089409966089471418340698
9626448772056043078634808885709,9626448772056043078634808885709143464793
85115987,8511598745434093204010221898270753921240
857317121103651748637163,8573171211036517486371634098385626541555
15704462723177778864,1570446272317777886498067007235988895287
633473838901775971423,6334738389017759714236223057776395541011
86615044747872616424997667,8661504474787261642499766714813830539479
531993294329660182207879331,5319932943296601822078793312232322592827
1563006364,1563006364432111622483737910562361135883
dehumanizi,dehumanizing
57814876772991609411539540,5781487677299160941153954063362752423712
3298135436451240922208966439872019979,3298135436451240922208966439872019979456
franticall,frantically
bettin,betting
467064368,4670643683405047499433398022856103130830
237008720392120854995696810,2370087203921208549956968106137918902996
121874818202833941887076,1218748182028339418870763117316152898117
evince,evinced
71152032511552823716146920063471,7115203251155282371614692006347135703833
inextinguishabl,inextinguishable
5633501707485790272487,5633501707485790272487013702642032839657
32567807682651045738059018831237,3256780768265104573805901883123761727188
evinci,evincing
9290684475779825179556975823508437174,9290684475779825179556975823508437174610
187484389231772926135,1874843892317729261354302493256289637136
tribulati,tribulations
plenteou,plenteous
3512913923595452951407437943,3512913923595452951407437943144900950809
4425177729238143962330437,4425177729238143962330437240360326031814
_then,_then_
0900074,0900074740659456503153750441779821923063
54046834233,5404683423386107608236057829419480093343
3719,3719869591645186943232424640440167238197
6518265456343828511591376,6518265456343828511591376315695198952302
54275706,5427570641944088338168411111662007597872
0394984033580913091401,0394984033580913091401978778436501679601
3095481593545075492355416,3095481593545075492355416776687645521254
entan,entangled
562782,5627827759878813649195125748332879377157
reassemb,reassembled
63951,6395173941101311525027504657493430637665
53857016870220262027467864,5385701687022026202746786479166440307290
5232670604000434884343290276036049,5232670604000434884343290276036049802786
2930186739439,2930186739439716388611764209004068663398
macint,macintosh
14991979808120956921956226323137418,1499197980812095692195622632313741870979
255347740011048539969,2553477400110485399696054992650809391069
57329266461640227979119,5732926646164022797911959752485253003767
guarded,guardedly
regularl,regularly
1914588428330,1914588428330005256847768743059163904943
8910870164270169014,8910870164270169014007825748311598976330
258598599123843993,2585985991238439935755732850286131559703
753177499,7531774997379929304329437176380185628006
605272605994432044,6052726059944320443056274522916128891766
51983,5198397660693358224779136504562705766735
cutes,cutest
tilte,tilted
330925083496645841656554261294195,3309250834966458416565542612941951088471
4227791316293,4227791316293454944253954227273096450579
06871343118796189637475503,0687134311879618963747550336282093994934
utopia,utopian
footwa,footway
48356,4835626961661980572526612206797540621062
pocketkni,pocketknife
2471536,2471536681145666596959735075972188416698
3748,3748896456571872925404485086244499478162
peacherino,peacherinos
2942277105930566,2942277105930566606251522909241480570809
779295282467954373022634,7792952824679543730226347249535946630023
69319626420140427,6931962642014042788365702610390456105151
584439096724823234825958,5844390967248232348259587963698908456664
4832982299616721708015680108079977,4832982299616721708015680108079977712651
54686267885233004496779558076166180,5468626788523300449677955807616618018336
01471174784648392412256765235934185,0147117478464839241225676523593418554066
96257424425420546785767478,9625742442542054678576747819095948650057
7108389097825964406170543546968,7108389097825964406170543546968567030745
737046352013271825,7370463520132718259241090604009763858585
lieuten,lieutenant
underline,underlines
uncensure,uncensured
175837688436786081446,1758376884367860814463196419125665740477
biolog,biological
347549943,3475499431740580563099143218212547336281
04345606696645,0434560669664568997469103739877128915933
49856570556087842119640399723445564586,4985657055608784211964039972344556458607
7965919809225550560061,7965919809225550560061971283541270202072
451272237378861,4512722373788612605816566805371439612788
7484244107656444,7484244107656444776709779039232495841634
30185242177061365332360,3018524217706136533236073856228166664597
35129139235954529514074379431449009508,3512913923595452951407437943144900950809
15427091430101,1542709143010161515013086522842238721618
17569698544013397622096749,1756969854401339762209674945418540711844
56720062839744828713,5672006283974482871329822395757910542081
richnes,richness
9161551477763018763021,9161551477763018763021360688252962744602
589767147420572404,5897671474205724047439720232895903726148
561657301,5616573018540492174771620516784865079135
stret,stretched
58355252015752392808264625,5835525201575239280826462555785658190226
160174851981885460860036597606743233,1601748519818854608600365976067432333464
3762,3762363048580427744179071691463565462012
3157447684338100457385008523652069,3157447684338100457385008523652069340710
431468842988412616042682248823097,4314688429884126160426822488230977885564
18330632232942199132137614506411391269,1833063223294219913213761450641139126983
39157542419296607312393763542,3915754241929660731239376354213923061787
9039475168017,9039475168017709900129391137881248534255
81231960253,8123196025337336774379706877138147475521
fervo,fervour
diminut,diminutive
3780,3780297272073624396723985414448075728681
51464170,5146417007698930562016350219269265316659
palav,palaver
261234878334034473833,2612348783340344738335736019732359466042
42066227347868223036522019,4206622734786822303652201965572932590506
9152182196246535755,9152182196246535755705642282203995466826
24456648915921138225886788097,2445664891592113822588678809725643516464
compart,compartment
6753958711436104089409966089,6753958711436104089409966089471418340698
proportionatel,proportionately
unlike,unlikely
637523647962,6375236479626857516600665393641422730630
3773,3773682405109025837593451700153405222661
09387064418867334910998779260,0938706441886733491099877926005340862442
3777,3777247276797635865806019396287718060679
74921331663162812456,7492133166316281245638823828871564844788
96143083,9614308381730362152064229783998253369802
1119,1119639279410696194654264800067617276181
business,businesses
866735726040869511136,8667357260408695111366498812299578016188
367645987548872617068716310959131580,3676459875488726170687163109591315801609
763234429112423113686037,7632344291124231136860372451443876580127
58194686605870921446537167,5819468660587092144653716755655531962091
impartin,imparting
grumbli,grumbling
millionai,millionaire
undenia,undeniably
robiso,robison
grumble,grumbled
inappl,inapplicable
78945607061512108266,7894560706151210826614609866204042501058
7792952824679543730226347249535946,7792952824679543730226347249535946630023
3024850235732214597843282641421684878,3024850235732214597843282641421684878721
123957826024897837147355682,1239578260248978371473556820782675452142
9874663685629265,9874663685629265505822288771322178144048
0926621,0926621322927364971865395286656753857211
43377884,4337788492834236361124473822814504596821
2276467811753336102818780,2276467811753336102818780071021979442877
ferti,fertile
7601733858,7601733858843763144148113561693030468420
564513030699251995,5645130306992519959043638402842926741257
8510673615276261016026647772,8510673615276261016026647772485083344719
maai,maaia
0949298475227,0949298475227462534564256702254695786484
1768155922620,1768155922620169913966131537380212941600
184159734,1841597346103824011785567390805664833210
1137,1137197522734365458411622066281660256333
99974952679,9997495267988010745764665383774004374636
81181548267844169315,8118154826784416931528440846108758821431
8435536402764392777908638966566390,8435536402764392777908638966566390166776
3336663383476844380,3336663383476844380726243073190193635710
806499084591796203056915,8064990845917962030569156680618082658692
2610175363482811968374933958257425412,2610175363482811968374933958257425412446
70302806519535452053173536,7030280651953545205317353680895458990218
strad,straddled
2827739043038687727282620656631,2827739043038687727282620656631293874598
6186797,6186797172560815532871643611147487510703
281490241467804723275976842,2814902414678047232759768426963393577354
3615795,3615795183793702674145140090283306446620
71117676,7111767610477749716668901521638389743117
journey,journeying
unconq,unconquered
strap,strapped
strat,strata
6375154630483311272223181233,6375154630483311272223181233837177980043
1148,1148520549336793686843083240412678922092
587099635,5870996357773590271962850611465148375262
51491453950981,5149145395098100138873792637996487372839
1144,1144720414760917658043029845017468679812
hindran,hindrance
647220498944562905039,6472204989445629050395873788912680565516
5492275811517093149218795927180,5492275811517093149218795927180019409688
profligat,profligate
0445962632793463772115102854,0445962632793463772115102854547231288003
deares,dearest
280697772043736371787345794842,2806977720437363717873457948420238745151
89171050503856336503,8917105050385633650354516643177448964006
bach,bachelor
uncomp,uncompress
92565554878,9256555487861614478717581068572356895150
68873902069027945343823693053113344,6887390206902794534382369305311334409013
manifo,manifold
1159,1159869707957459463371702432684848646320
3856248920130010782462165136989511064,3856248920130010782462165136989511064611
124428417625623013953866997030,1244284176256230139538669970308943645907
941795471790955801201342101751509314,9417954717909558012013421017515093149166
tresp,trespass
185596690485594676079681901,1855966904855946760796819016726663465018
57300768,5730076893989007007392469746181285576466
857317121103651748,8573171211036517486371634098385626541555
7728009861894019843754464350,7728009861894019843754464350814982183601
relax,relaxed
70016546716816053432929075730314665,7001654671681605343292907573031466562485
742246151140601576011591025644,7422461511406015760115910256449002264980
6612402787588310102149528460,6612402787588310102149528460080480502804
97803368022815422349,9780336802281542234901837374941179732544
minicompute,minicomputer
1173,1173317807741497557116733034632008408954
sawbon,sawbones
8882493421364424,8882493421364424178335193197865439402014
3750798405112665897301814,3750798405112665897301814932106195076900
345585613140207765,3455856131402077659961425464632886773568
physiolog,physiology
752685082307544254599376,7526850823075442545993769170419777800853
relat,relations
3500159704,3500159704041919956050970536469647314244
01530841,0153084180417376989637590025469994541316
relap,relapse
palli,pallid
69184729478580729156,6918472947858072915608851039678195942983
palla,pallas
nurtu,nurtured
dulle,dulled
1180,11800
62934249814178,6293424981417805646161586341533863507722
watchw,watchwords
4355485293237716141086959195,4355485293237716141086959195078687327607
6507848945,6507848945473890965733127638529626645170
509876428328,5098764283280290844566202167836226727229
horosc,horoscope
545562870729968407382937218623831766524,5455628707299684073829372186238317665247
6257875,6257875620364294270257512121137330213811
cadenc,cadence
29422771059,2942277105930566606251522909241480570809
9377602529543130,9377602529543130188938184010247010134929
madd,maddened
69995875,6999587592181529761248240911695158778996
statue,statues
madl,madly
purchas,purchase
7807673637928867677811705,7807673637928867677811705205343677057315
maco,macos
curso,cursory
1188,1188904172457053747075555058163283168724
176821835500882964741065581488,1768218355008829647410655814882049239533
5126766443,5126766443218368832143458370854908224001
392101519323510139011778999748352718,3921015193235101390117789997483527186469
0363893131364327137688841,0363893131364327137688841026811219891275
26518708714613909521454987992300431779,2651870871461390952145498799230043177950
bagp,bagpipes
625839237639171785579946892249675017,6258392376391717855799468922496750179251
052437049402152187547825163347082430,0524370494021521875478251633470824303035
17096155049333839045261240439551744,1709615504933383904526124043955174491368
strov,strove
7233414,7233414550059039138902536993171559171798
4943180498341996399814587,4943180498341996399814587734358631159405
languorou,languorous
palin,paling
62107993576737317948964252488813,6210799357673731794896425248881372043557
stron,strong
lespenar,lespenard
860274188,8602741888013779312799381537276926121140
nursl,nursling
11822960896394055380431939398453,1182296089639405538043193939845397086441
exemplif,exemplified
5400085220065031871239272857,5400085220065031871239272857835807010762
071213453,0712134539837113575009758544059395586617
intrigu,intrigue
946853678231,9468536782310609792159936001994623799343
383628124629,3836281246291181177609494118801059463366
23984687254,2398468725451306350506984981006205514844
791346544393196525,7913465443931965254154829494577875758599
710838909782596,7108389097825964406170543546968567030745
4456548526356617201975630015800497,4456548526356617201975630015800497902234
865429165585316869753705276070,8654291655853168697537052760701061488025
5322700231133680378,5322700231133680378433377389724881307874
681934418305987021880502259,6819344183059870218805022591928180477752
pretensi,pretensions
strid,strides
06064077547794396713836,0606407754779439671383653877377610828300
palpi,palpitation
681801278391200580143159644,6818012783912005801431596441910546663236
7269094289829710656068,7269094289829710656068018058078436004618
018276633622797810,0182766336227978104546331131294044833570
strip,stripped
palpa,palpably
2163068709634119,2163068709634119751925774318683671722139
compatr,compatriots
7845174,7845174740515317401384878082881006046388
cadmeian,cadmeians
266727497877,2667274978773047021616501971193744250562
615833525803528582757990,6158335258035285827579903858409166761887
baiz,baize
078955916549813037292944,0789559165498130372929444623063712843579
584439096724823234825958796,5844390967248232348259587963698908456664
94230494003844062,9423049400384406226144495725166310170806
59585183934,5958518393491382340884274312419099152870
5500260804241605,5500260804241605625335918562309553765668
24501,2450166815341213505278578539332606110249
296831563581454,2968315635814542089054065122641916201550
6256785753542399474279194425,6256785753542399474279194425446646433155
92906844757798251795,9290684475779825179556975823508437174610
horseba,horseback
360260478907619455918202,3602604789076194559182028936577011641688
4308117317394338867965739135,4308117317394338867965739135764377642819
745518893385181,7455188933851817916675790542104210363493
748884764,7488847646220303256377511125340600879369
441453438033,4414534380337597173847772320520653010378
475945713821785251664,4759457138217852516642742746639193200305
326750153,3267501532435909029491516973738110897934
83648961342251644,8364896134225164450781824423529486363721
unfinis,unfinished
2455165080886442121211391435245393522,2455165080886442121211391435245393522552
043976700258630,0439767002586300254063526400660163171288
46360981608957670421903145684,4636098160895767042190314568494296728664
winningl,winningly
06323966049691,0632396604969145303273887874557905934937
bali,baling
5560955351079987185041352121321534713,5560955351079987185041352121321534713770
1051207313846648717547518382979,1051207313846648717547518382979990189317
redouble,redoubled
079627461355344425147454236546627522,0796274613553444251474542365466275225262
bale,bales
perspec,perspectives
346024554247028,3460245542470283753000337254039100859976
bala,balance
59493020,5949302092112205261031239068294134569678
fulfil,fulfilled
